Name,Plural,Abbreviation,Alt. Abbreviation,Primary word,Class word,Modifier,Qualifier,Description
%,%,,,,,,,
ID_платежа,Payment ID,,,,,,,
ID_номера,Room ID,,,,,,,
Агенства,AGENCY,,,,,,,
Адрес,Address,,,,,,,
Гостиницы,HOTELS,,,,,,,
Дата_прилета,Arrival date,,,,,,,
Договора,CONTRACTS,,,,,,,
ID_договора,Contract ID,,,,,,,
Клиенты,CLIENTS,,,,,,,
Макс._кол-во_постояльцев_в_номере,Max quantity guest in room,,,,,,,
Название_направления,Title direction,,,,,,,
ID_направления,Direction ID,,,,,,,
Направления,DIRECTIONS,,,,,,,
Платежи,PAYMENTS,,,,,,,
Почта,E-mail,,,,,,,
Рейтинг,Rating,,,,,,,
Сайт,Website,,,,,,,
Скидка,Discount,,,,,,,
Статус_платежа,Payment status,,,,,,,
ID_страховки,Insurance ID,,,,,,,
Страховки,INSURANCE POLICIES,,,,,,,
Телефон,Phone,,,,,,,
Типы,TYPES,,,,,,,
Туроператоры,TOUR OPERATORS,,,,,,,
ФИО,Full name,,,,,,,
Цена_услуги,Services price,,,,,,,
ID_агента,Agent ID,,,,,,,
Дата_вылета,Departure date,,,,,,,
Паспортные_данные,Passport data,,,,,,,
ID_клиента,Clients ID,,,,,,,
%_комисси_со_сделки,Commissions,,,,,,,
Дата_найма,Hire date,,,,,,,
Уровень_комфорта_номера,Comfort level in rooms,,,,,,,
Кол-во_свободных_номеров,Quantity free rooms,,,,,,,
Типы_номеров,TYPE ROOMS,,,,,,,
Цена_за_ночь,Price per night,,,,,,,
Описание_услуги,Services description,,,,,,,
Тип_страховки,Insurance type,,,,,,,
Заказчик,Customer,,,,,,,
Дата_увольнения,Layoffs date,,,,,,,
ID_услуги,Services ID,,,,,,,
ФИО_агента,Agent full name,,,,,,,
